Numero Station,Nom,Heure,Bornes disponibles,Places Total,Longitude,latitude
001,Rue Jules Ferry - Gare Saint-Roch,1674413532,10,12,3.881346,43.605366
002,Comédie,1674413246,22,24,3.878778,43.608148
003,Esplanade,1674413530,30,32,3.881293,43.609478
004,Hôtel de Ville,1674413513,2,16,3.894866,43.599088
005,Corum,1674413400,8,12,3.8816,43.613989
006,Place Albert 1er - St Charles,1674413643,7,27,3.873375,43.616768
007,Foch,1674413469,7,8,3.873345,43.610989
008,Halles Castellane,1674413217,12,12,3.877208,43.609935
009,Observatoire,1674413093,7,8,3.876931,43.606081
010,Rondelet,1674413644,9,16,3.875796,43.603038
011,Plan Cabanes,1674413315,12,12,3.868389,43.608491
012,Boutonnet,1674413650,2,12,3.868375,43.622629
013,Emile Combes,1674413512,2,8,3.87998,43.616742
014,Beaux-Arts,1674413208,14,28,3.884981,43.616698
015,Les Aubes,1674413643,1,8,3.893844,43.618692
016,Antigone centre,1674413588,13,16,3.890634,43.607942
017,Médiathèque Emile Zola,1674413574,10,16,3.89314,43.608218
018,Nombre d'Or,1674413471,8,16,3.886644,43.607859
019,Louis Blanc,1674413440,4,16,3.877648,43.614642
020,Gambetta,1674413121,7,8,3.870693,43.607106
021,Port Marianne,1674413544,7,16,3.89851,43.60032
022,Clemenceau,1674413631,3,12,3.872394,43.603539
023,Les Arceaux,1674413200,14,16,3.867157,43.611991
024,Cité Mion,1674413540,5,8,3.884373,43.601143
025,Nouveau Saint-Roch,1674413481,3,8,3.875757,43.599817
026,Renouvier,1674413130,6,8,3.867884,43.603553
027,Odysseum,1674413243,4,8,3.918979,43.603727
028,Saint-Denis,1674413099,8,8,3.875065,43.605021
029,Richter,1674413306,3,16,3.899263,43.603424
030,Charles Flahault,1674413450,2,8,3.865971,43.618762
031,Voltaire,1674413194,0,8,3.888659,43.603767
032,Prés d'Arènes,1674413267,7,8,3.884611,43.59048
033,Garcia Lorca,1674413435,4,8,3.890616,43.590757
034,Vert Bois,1588861309,0,0,3.86823,43.63458
035,Malbosc,1674404581,4,8,3.832861,43.633679
036,Occitanie,1674413261,29,32,3.849128,43.634242
037,FacdesSciences,1674412661,15,24,3.860697,43.631018
038,Fac de Lettres,1674413446,15,16,3.87023,43.630665
039,Aiguelongue,1674413352,1,8,3.882492,43.626163
040,Jeu de Mail des Abbés,1674413496,5,8,3.883831,43.619701
041,Euromédecine,1674413616,1,8,3.828199,43.639119
042,Marie Caizergues,1674413290,5,8,3.873812,43.619871
043,Sabines,1674413079,2,8,3.860031,43.584211
044,Celleneuve,1674413637,4,8,3.832624,43.61467
045,Jardin de la Lironde,1674394306,7,8,3.911576,43.60585
046,Père Soulas,1670864054,7,8,3.855603,43.621983
047,Place Viala,1674413130,3,8,3.855075,43.616812
048,Hôtel du Département,1674413118,2,8,3.83477,43.621682
049,Tonnelles,1674413488,5,8,3.839466,43.615155
050,Parvis Jules Ferry - Gare Saint-Roch,1674413655,0,8,3.879362,43.603889
051,Pont de Lattes - Gare Saint-Roch,1674413435,12,12,3.882393,43.606036
053,Deux Ponts - Gare Saint-Roch,1674413082,8,8,3.880916,43.604319
054,Providence - Ovalie,1674413320,5,8,3.853421,43.588239
055,Pérols Etang de l'Or,1674413418,37,68,3.963412,43.558351
056,Albert 1er - Cathédrale,1674234120,11,12,3.873218,43.614005
057,Saint-Guilhem - Courreau,1674413369,8,8,3.872752,43.608996
059,Sud De France,1674413557,2,8,3.9235,43.59562
